date,kickoff_utc,home_team,away_team,home_score,away_score,tournament,city,country,neutral,status,stage,matchday,match_id
2026-06-21,2026-06-21T16:00:00Z,Spain,Saudi Arabia,4.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537371
2026-06-21,2026-06-21T19:00:00Z,Belgium,Iran,0.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537365
2026-06-21,2026-06-21T00:00:00Z,Ecuador,Curaçao,0.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537354
2026-06-21,2026-06-21T04:00:00Z,Tunisia,Japan,0.0,4.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537360
2026-06-22,2026-06-22T01:00:00Z,New Zealand,Egypt,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537366
2026-06-22,2026-06-22T17:00:00Z,Argentina,Austria,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537399
2026-06-22,2026-06-22T21:00:00Z,France,Iraq,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537393
2026-06-23,2026-06-23T00:00:00Z,Norway,Senegal,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537394
2026-06-23,2026-06-23T03:00:00Z,Jordan,Algeria,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537400
2026-06-23,2026-06-23T17:00:00Z,Portugal,Uzbekistan,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537405
2026-06-23,2026-06-23T20:00:00Z,England,Ghana,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537411
2026-06-23,2026-06-23T23:00:00Z,Panama,Croatia,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537412
2026-06-24,2026-06-24T22:00:00Z,Morocco,Haiti,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537344
2026-06-24,2026-06-24T19:00:00Z,Bosnia-Herzegovina,Qatar,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537338
2026-06-24,2026-06-24T22:00:00Z,Scotland,Brazil,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537343
2026-06-24,2026-06-24T02:00:00Z,Colombia,Congo DR,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537406
2026-06-24,2026-06-24T19:00:00Z,Switzerland,Canada,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537337
2026-06-25,2026-06-25T01:00:00Z,Czechia,Mexico,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537331
2026-06-25,2026-06-25T01:00:00Z,South Africa,South Korea,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537332
2026-06-25,2026-06-25T20:00:00Z,Ecuador,Germany,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537355
2026-06-25,2026-06-25T20:00:00Z,Curaçao,Ivory Coast,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537356
2026-06-25,2026-06-25T23:00:00Z,Tunisia,Netherlands,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537361
2026-06-25,2026-06-25T23:00:00Z,Japan,Sweden,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537362
2026-06-26,2026-06-26T02:00:00Z,Turkey,United States,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537349
2026-06-26,2026-06-26T02:00:00Z,Paraguay,Australia,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537350
2026-06-26,2026-06-26T19:00:00Z,Norway,France,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537395
2026-06-26,2026-06-26T19:00:00Z,Senegal,Iraq,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537396
2026-06-27,2026-06-27T23:30:00Z,Congo DR,Uzbekistan,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537408
2026-06-27,2026-06-27T23:30:00Z,Colombia,Portugal,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537407
2026-06-27,2026-06-27T21:00:00Z,Croatia,Ghana,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537414
2026-06-27,2026-06-27T21:00:00Z,Panama,England,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537413
2026-06-27,2026-06-27T00:00:00Z,Cape Verde Islands,Saudi Arabia,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537374
2026-06-27,2026-06-27T03:00:00Z,New Zealand,Belgium,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537367
2026-06-27,2026-06-27T03:00:00Z,Egypt,Iran,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537368
2026-06-27,2026-06-27T00:00:00Z,Uruguay,Spain,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537373
2026-06-28,2026-06-28T02:00:00Z,Jordan,Argentina,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537401
2026-06-28,2026-06-28T02:00:00Z,Algeria,Austria,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537402
2026-06-28,2026-06-28T19:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537417
2026-06-29,2026-06-29T20:30:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537415
2026-06-29,2026-06-29T17:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537423
2026-06-30,2026-06-30T21:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537416
2026-06-30,2026-06-30T17:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537424
2026-06-30,2026-06-30T01:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537418
2026-07-01,2026-07-01T01:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537425
2026-07-01,2026-07-01T16:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537426
2026-07-01,2026-07-01T20:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537422
2026-07-02,2026-07-02T00:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537421
2026-07-02,2026-07-02T19:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537420
2026-07-02,2026-07-02T23:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537419
2026-07-03,2026-07-03T03:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537429
2026-07-03,2026-07-03T18:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537428
2026-07-03,2026-07-03T22:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537427
2026-07-04,2026-07-04T21:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_16,,537375
2026-07-04,2026-07-04T01:30:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_32,,537430
2026-07-04,2026-07-04T17:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_16,,537376
2026-07-05,2026-07-05T20:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_16,,537377
2026-07-06,2026-07-06T00:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_16,,537378
2026-07-06,2026-07-06T19:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_16,,537379
2026-07-07,2026-07-07T00:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_16,,537380
2026-07-07,2026-07-07T16:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_16,,537381
2026-07-07,2026-07-07T20:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,LAST_16,,537382
2026-07-09,2026-07-09T20:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,QUARTER_FINALS,,537383
2026-07-10,2026-07-10T19:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,QUARTER_FINALS,,537384
2026-07-11,2026-07-11T21:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,QUARTER_FINALS,,537385
2026-07-12,2026-07-12T01:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,QUARTER_FINALS,,537386
2026-07-14,2026-07-14T19:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,SEMI_FINALS,,537387
2026-07-15,2026-07-15T19:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,SEMI_FINALS,,537388
2026-07-18,2026-07-18T21:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,THIRD_PLACE,,537389
2026-07-19,2026-07-19T19:00:00Z,,,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,FINAL,,537390
